stationname,parameter,date,hour,conc
Cid.Universitária-USP-Ipen,O3,2019-01-10,19,125
Cid.Universitária-USP-Ipen,O3,2019-01-10,20,119
Cid.Universitária-USP-Ipen,O3,2019-01-10,21,103
Cid.Universitária-USP-Ipen,O3,2019-01-10,22,95
Cid.Universitária-USP-Ipen,O3,2019-01-10,23,90
Cid.Universitária-USP-Ipen,O3,2019-01-10,24,79
Cid.Universitária-USP-Ipen,O3,2019-01-11,1,84
Cid.Universitária-USP-Ipen,O3,2019-01-11,2,69
Cid.Universitária-USP-Ipen,O3,2019-01-11,3,65
Cid.Universitária-USP-Ipen,O3,2019-01-11,4,50
Cid.Universitária-USP-Ipen,O3,2019-01-11,5,39
Cid.Universitária-USP-Ipen,O3,2019-01-11,6,22
Cid.Universitária-USP-Ipen,O3,2019-01-11,7,7
Cid.Universitária-USP-Ipen,O3,2019-01-11,8,7
Cid.Universitária-USP-Ipen,O3,2019-01-11,9,18
Cid.Universitária-USP-Ipen,O3,2019-01-11,10,31
Cid.Universitária-USP-Ipen,O3,2019-01-11,11,60
Cid.Universitária-USP-Ipen,O3,2019-01-11,12,95
Cid.Universitária-USP-Ipen,O3,2019-01-11,13,135
Cid.Universitária-USP-Ipen,O3,2019-01-11,14,145
Cid.Universitária-USP-Ipen,O3,2019-01-11,15,153
Cid.Universitária-USP-Ipen,O3,2019-01-11,16,159
Cid.Universitária-USP-Ipen,O3,2019-01-11,17,117
Cid.Universitária-USP-Ipen,O3,2019-01-11,18,85
Cid.Universitária-USP-Ipen,O3,2019-01-11,19,76
Cid.Universitária-USP-Ipen,O3,2019-01-11,20,42
Cid.Universitária-USP-Ipen,O3,2019-01-11,21,39
Cid.Universitária-USP-Ipen,O3,2019-01-11,22,34
Cid.Universitária-USP-Ipen,O3,2019-01-11,23,24
Cid.Universitária-USP-Ipen,O3,2019-01-11,24,4
Cid.Universitária-USP-Ipen,O3,2019-01-12,1,24
Cid.Universitária-USP-Ipen,O3,2019-01-12,2,20
Cid.Universitária-USP-Ipen,O3,2019-01-12,3,23
Cid.Universitária-USP-Ipen,O3,2019-01-12,4,29
Cid.Universitária-USP-Ipen,O3,2019-01-12,5,43
Cid.Universitária-USP-Ipen,O3,2019-01-12,6,41
Cid.Universitária-USP-Ipen,O3,2019-01-12,7,40
Cid.Universitária-USP-Ipen,O3,2019-01-12,8,35
Cid.Universitária-USP-Ipen,O3,2019-01-12,9,42
Cid.Universitária-USP-Ipen,O3,2019-01-12,10,46
Cid.Universitária-USP-Ipen,O3,2019-01-12,11,58
Cid.Universitária-USP-Ipen,O3,2019-01-12,12,93
Cid.Universitária-USP-Ipen,O3,2019-01-12,13,128
Cid.Universitária-USP-Ipen,O3,2019-01-12,14,150
Cid.Universitária-USP-Ipen,O3,2019-01-12,15,155
Cid.Universitária-USP-Ipen,O3,2019-01-12,16,124
Cid.Universitária-USP-Ipen,O3,2019-01-12,17,77
Cid.Universitária-USP-Ipen,O3,2019-01-12,18,67
Cid.Universitária-USP-Ipen,O3,2019-01-12,19,64
Cid.Universitária-USP-Ipen,O3,2019-01-12,20,61
Cid.Universitária-USP-Ipen,O3,2019-01-12,21,58
Cid.Universitária-USP-Ipen,O3,2019-01-12,22,53
Cid.Universitária-USP-Ipen,O3,2019-01-12,23,47
Cid.Universitária-USP-Ipen,O3,2019-01-12,24,37
Cid.Universitária-USP-Ipen,O3,2019-01-13,1,29
Cid.Universitária-USP-Ipen,O3,2019-01-13,2,37
Cid.Universitária-USP-Ipen,O3,2019-01-13,3,41
Cid.Universitária-USP-Ipen,O3,2019-01-13,4,31
Cid.Universitária-USP-Ipen,O3,2019-01-13,5,27
Cid.Universitária-USP-Ipen,O3,2019-01-13,6,26
Cid.Universitária-USP-Ipen,O3,2019-01-13,7,20
Cid.Universitária-USP-Ipen,O3,2019-01-13,8,20
Cid.Universitária-USP-Ipen,O3,2019-01-13,9,48
Cid.Universitária-USP-Ipen,O3,2019-01-13,10,55
Cid.Universitária-USP-Ipen,O3,2019-01-13,11,76
Cid.Universitária-USP-Ipen,O3,2019-01-13,12,99
Cid.Universitária-USP-Ipen,O3,2019-01-13,13,98
Cid.Universitária-USP-Ipen,O3,2019-01-13,14,101
Cid.Universitária-USP-Ipen,O3,2019-01-13,15,92
Cid.Universitária-USP-Ipen,O3,2019-01-13,16,87
Cid.Universitária-USP-Ipen,O3,2019-01-13,17,103
Cid.Universitária-USP-Ipen,O3,2019-01-13,18,96
Cid.Universitária-USP-Ipen,O3,2019-01-13,19,96
Cid.Universitária-USP-Ipen,O3,2019-01-13,20,84
Cid.Universitária-USP-Ipen,O3,2019-01-13,21,58
Cid.Universitária-USP-Ipen,O3,2019-01-13,22,46
Cid.Universitária-USP-Ipen,O3,2019-01-13,23,41
Cid.Universitária-USP-Ipen,O3,2019-01-13,24,35
Cid.Universitária-USP-Ipen,O3,2019-01-14,1,27
Cid.Universitária-USP-Ipen,O3,2019-01-14,2,29
Cid.Universitária-USP-Ipen,O3,2019-01-14,3,31
Cid.Universitária-USP-Ipen,O3,2019-01-14,4,21
Cid.Universitária-USP-Ipen,O3,2019-01-14,5,19
Cid.Universitária-USP-Ipen,O3,2019-01-14,6,16
Cid.Universitária-USP-Ipen,O3,2019-01-14,7,9
Cid.Universitária-USP-Ipen,O3,2019-01-14,8,8
Cid.Universitária-USP-Ipen,O3,2019-01-14,9,20
Cid.Universitária-USP-Ipen,O3,2019-01-14,10,39
Cid.Universitária-USP-Ipen,O3,2019-01-14,11,64
Cid.Universitária-USP-Ipen,O3,2019-01-14,12,92
Cid.Universitária-USP-Ipen,O3,2019-01-14,13,123
Cid.Universitária-USP-Ipen,O3,2019-01-14,14,126
Cid.Universitária-USP-Ipen,O3,2019-01-14,15,118
Cid.Universitária-USP-Ipen,O3,2019-01-14,16,130
Cid.Universitária-USP-Ipen,O3,2019-01-14,17,109
Cid.Universitária-USP-Ipen,O3,2019-01-14,18,72
Cid.Universitária-USP-Ipen,O3,2019-01-14,19,63
Cid.Universitária-USP-Ipen,O3,2019-01-14,20,67
Cid.Universitária-USP-Ipen,O3,2019-01-14,21,60
Cid.Universitária-USP-Ipen,O3,2019-01-14,22,63
Cid.Universitária-USP-Ipen,O3,2019-01-14,23,58
Cid.Universitária-USP-Ipen,O3,2019-01-14,24,62
Cid.Universitária-USP-Ipen,O3,2019-01-15,1,57
Cid.Universitária-USP-Ipen,O3,2019-01-15,2,61
Cid.Universitária-USP-Ipen,O3,2019-01-15,3,58
Cid.Universitária-USP-Ipen,O3,2019-01-15,4,56
Cid.Universitária-USP-Ipen,O3,2019-01-15,5,48
Cid.Universitária-USP-Ipen,O3,2019-01-15,6,31
Cid.Universitária-USP-Ipen,O3,2019-01-15,7,7
